request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
50,deep-research-0,research-agents,standard,1,,0,deep-research-system-prompt-0,2000,true,72432,50,0,0,0,0,0,,0,73921,222572975,1788928888752530,1788928913870377,1788928914687227,50,ok,,length,801cba19-972b-40c2-9046-6f76bbb6aa6d
52,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,22307,50,0,0,0,0,0,,0,24138,241402797,1788928907581499,1788928916107005,1788928916918337,51,ok,,length,c0e87220-d4c7-45a0-84ec-d59731ae0170
53,deep-research-3,research-agents,standard,1,,0,deep-research-system-prompt-3,2000,true,13218,50,0,0,0,0,0,,0,14978,243896241,1788928910074262,1788928918411478,1788928919217296,51,ok,,length,c49b4051-a486-4a16-8419-5a942f240630
54,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,24579,200,0,0,0,0,0,,0,26567,245667162,1788928911846191,1788928921324295,1788928924650861,201,ok,,length,44e86191-9c45-49e7-9ad7-af56c088e5f7
56,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,42077,214,0,0,0,0,0,,0,43720,250760874,1788928916940525,1788928927196710,1788928930987543,215,ok,,length,6d5108da-8db2-419c-8ad4-7a51e22357a9
55,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,40883,672,0,0,0,0,0,,0,42862,246278664,1788928912457652,1788928924410725,1788928936014238,673,ok,,length,51febd39-f72e-4e35-8d17-9187f4c01792
59,deep-research-3,research-agents,standard,1,,0,deep-research-system-prompt-3,2000,true,32244,50,0,0,0,0,0,,0,34017,261306867,1788928927485471,1788928938515852,1788928939465464,51,ok,,length,bceeb6ed-f365-4ae7-9d59-d9a7404b06df
57,deep-research-1,research-agents,standard,1,,0,deep-research-system-prompt-1,2000,true,15272,774,0,0,0,0,0,,0,17050,252022518,1788928918200931,1788928926880077,1788928939754809,775,ok,,length,1b2924c0-90eb-4582-bc07-32739075b90e
51,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,29865,1868,0,0,0,0,0,,0,31675,223027200,1788928889206333,1788928916121538,1788928948693169,1868,ok,,length,d30f06c7-4dc4-45e6-b00e-7fbe053a7717
58,deep-research-0,research-agents,standard,1,,0,deep-research-system-prompt-0,2000,true,81584,694,0,0,0,0,0,,0,82745,257378594,1788928923558226,1788928937865439,1788928950701405,694,ok,,length,d6941074-8a97-4e2b-9bac-f5fe8a884dd1
60,deep-research-1,research-agents,standard,1,,0,deep-research-system-prompt-1,2000,true,41026,247,0,0,0,0,0,,0,42794,276491902,1788928942670531,1788928946859383,1788928950904776,248,ok,,length,d5063928-701f-4d56-b79f-581764c8f5da
61,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,55150,50,0,0,0,0,0,,0,56656,280025478,1788928946204600,1788928952164894,1788928952966204,51,ok,,length,04956cfe-207b-450d-9f92-c1db7fafa6c3
64,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,24151,50,0,0,0,0,0,,0,25932,293540556,1788928959719632,1788928961919160,1788928962723550,51,ok,,length,40069e51-9398-45d5-9953-60ce9ebf705c
62,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,24291,889,0,0,0,0,0,,0,26151,285831516,1788928952010631,1788928954186018,1788928968670789,890,ok,,length,7fe91fbf-c131-4ce2-8d35-a93a6261022d
66,deep-research-3,research-agents,standard,1,,0,deep-research-system-prompt-3,2000,true,99314,50,0,0,0,0,0,,0,100580,302751460,1788928968931800,1788928982282248,1788928983164846,50,ok,,length,e30affa9-0bc3-4eda-bb35-c3b669a7f97d
65,deep-research-0,research-agents,standard,1,,0,deep-research-system-prompt-0,2000,true,24207,1279,0,0,0,0,0,,0,26151,294755695,1788928960934551,1788928963779717,1788928984595295,1280,ok,,length,39f366ac-260c-4a1f-98b4-31ed70900b69
