request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
50,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,3177,0,0,0,0,0,0,,0,0,146598155,1788924037851052,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,acba6f15-c8c8-472c-838f-5e1fc67f5925
51,reasoning-4,reasoning-jobs,standard,1,,0,reasoning-system-prompt-4,250,true,884,0,0,0,0,0,0,,0,0,149864699,1788924041118130,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,24ebee09-da3d-4f9d-8b15-a2313de76cc5
52,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,745,0,0,0,0,0,0,,0,0,150911984,1788924042162868,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,575c2ea1-8562-4d83-bd2c-89be94dbba39
53,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,407,0,0,0,0,0,0,,0,0,153873130,1788924045126431,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,bdf7493c-00ff-4359-b9e8-91b7cd9ec783
54,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,688,0,0,0,0,0,0,,0,0,155875680,1788924047126917,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,8575d6b6-d23f-4538-8877-64382cd22c41
55,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,404,0,0,0,0,0,0,,0,0,157481601,1788924048733112,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,091c80ee-4711-440c-9786-e09c377fdf26
56,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,1036,0,0,0,0,0,0,,0,0,158120408,1788924049371653,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,caec764b-dd4f-4d43-a989-b7da2a3456d7
57,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,580,0,0,0,0,0,0,,0,0,168071851,1788924059331600,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,16ea2ba3-fe56-4060-aa2d-729ddaae2990
58,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,3581,0,0,0,0,0,0,,0,0,168943102,1788924060193505,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,f88a76e4-a6b3-4399-a097-fbcad06a3948
59,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,932,0,0,0,0,0,0,,0,0,185512454,1788924076770329,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,6e7a8ba6-bfca-4df2-ba2c-d423d3989b92
60,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,785,0,0,0,0,0,0,,0,0,187952656,1788924079203898,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,2bce32bf-e28e-4f0a-9d66-0ebbace5f26a
61,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1679,0,0,0,0,0,0,,0,0,188906056,1788924080157136,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,10bcf870-bbbf-4e6d-8b08-ae3a9c42d046
62,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,429,0,0,0,0,0,0,,0,0,189405160,1788924080655605,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,b41ce6e3-ee9d-4648-82a0-18d656c4d5c0
63,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,496,0,0,0,0,0,0,,0,0,202594497,1788924093857533,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,a1401996-4f10-4426-a5ee-8a57052e390c
64,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1440,0,0,0,0,0,0,,0,0,203749948,1788924095000940,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,8ba6d311-cde1-4293-a73e-3ca7f0f47043
65,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1676,0,0,0,0,0,0,,0,0,205359236,1788924096609956,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,62d6d5c3-d0d0-45d3-948d-4c00531aaa78
66,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,728,0,0,0,0,0,0,,0,0,210831113,1788924102082012,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,49800cf5-6b99-491e-9a23-36ac0423c040
67,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,353,0,0,0,0,0,0,,0,0,214883558,1788924106137684,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,1023d95d-4702-4689-bb5a-7395d4d4e391
68,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,2326,0,0,0,0,0,0,,0,0,215762753,1788924107013272,0,0,0,error,HTTP 503: inference error: ServiceUnavailable - failed to find endpoint candidates for serving the request,,96595794-b7c9-463a-b110-02458f4d5bc8
