request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
50,interactive-chat-30,interactive-users,standard,1,,0,interactive-system-prompt-30,1000,true,3794,10,0,0,0,0,0,,0,4740,12502392,1788939153694802,1788939154082546,1788939154520219,11,ok,,length,1d9435f5-aa45-4e13-a025-5b2440a0bfe9
54,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,5055,10,0,0,0,0,0,,0,5998,13020400,1788939154212423,1788939154577408,1788939155897206,11,ok,,length,e2b68749-df44-4ea9-8a6a-dc971165440e
66,interactive-chat-12,interactive-users,standard,1,,0,interactive-system-prompt-12,1000,true,3255,27,0,0,0,0,0,,0,4191,14883591,1788939156075813,1788939156425166,1788939157710986,28,ok,,length,c6353263-bae1-4fc4-9d57-bd9c22c4135f
68,interactive-chat-11,interactive-users,standard,1,,0,interactive-system-prompt-11,1000,true,5620,62,0,0,0,0,0,,0,6615,15061303,1788939156253612,1788939156757909,1788939160036826,63,ok,,length,cadd6c12-27e4-4196-964e-4bf7bd07d7f7
88,interactive-chat-18,interactive-users,standard,1,,0,interactive-system-prompt-18,1000,true,3796,10,0,0,0,0,0,,0,4777,18109790,1788939159302495,1788939159804523,1788939160058397,11,ok,,length,9a37ecc7-9c06-446e-b1a3-698bdd12e6bd
89,interactive-chat-38,interactive-users,standard,1,,0,interactive-system-prompt-38,1000,true,1155,23,0,0,0,0,0,,0,2119,18456645,1788939159648515,1788939159878999,1788939160386845,24,ok,,length,69ce4544-fc18-418a-863f-5b1fa9ba5939
94,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,2183,10,0,0,0,0,0,,0,3086,19624849,1788939160817259,1788939160989997,1788939161186904,11,ok,,length,b331ea71-4775-4dda-9d05-efded6d243e3
87,interactive-chat-10,interactive-users,standard,1,,0,interactive-system-prompt-10,1000,true,4687,42,0,0,0,0,0,,0,5613,18058930,1788939159251381,1788939159803643,1788939161318593,43,ok,,length,53b27870-ce38-4ccd-aa61-05d1f3039a4e
69,interactive-chat-49,interactive-users,standard,1,,0,interactive-system-prompt-49,1000,true,2690,110,0,0,0,0,0,,0,3647,15206247,1788939156398851,1788939156717283,1788939161383635,111,ok,,length,b35e1505-71ff-4602-b462-e656b827a528
61,interactive-chat-8,interactive-users,standard,1,,0,interactive-system-prompt-8,1000,true,6430,142,0,0,0,0,0,,0,7361,14013347,1788939155205492,1788939155896726,1788939161511595,143,ok,,length,632443ea-fcd6-4426-af30-f3c86523922c
60,interactive-chat-39,interactive-users,standard,1,,0,interactive-system-prompt-39,1000,true,2463,164,0,0,0,0,0,,0,3446,13823934,1788939155016679,1788939155364757,1788939165848003,165,ok,,length,296f1394-6831-46c8-ab11-513c65b2f0e8
90,interactive-chat-37,interactive-users,standard,1,,0,interactive-system-prompt-37,1000,true,2922,84,0,0,0,0,0,,0,3865,18598547,1788939159791121,1788939160135833,1788939165848432,85,ok,,length,2c0781d4-c2ba-400f-bddb-c82d01913c82
63,interactive-chat-10,interactive-users,standard,1,,0,interactive-system-prompt-10,1000,true,2618,163,0,0,0,0,0,,0,3576,14130383,1788939155322921,1788939155979108,1788939165870188,164,ok,,length,14080b8c-cd0e-4010-bdc4-fd56d36e2e1f
119,interactive-chat-15,interactive-users,standard,1,,0,interactive-system-prompt-15,1000,true,913,10,0,0,0,0,0,,0,1922,23469764,1788939164662279,1788939165542167,1788939165892740,11,ok,,length,52e171d4-2a9c-4c41-826e-004b5058594b
122,interactive-chat-45,interactive-users,standard,1,,0,interactive-system-prompt-45,1000,true,3315,10,0,0,0,0,0,,0,4304,24249364,1788939165441570,1788939165699846,1788939166129050,11,ok,,length,e930e2c7-3964-4a3b-8200-fb55d2c2a965
62,interactive-chat-45,interactive-users,standard,1,,0,interactive-system-prompt-45,1000,true,5288,175,0,0,0,0,0,,0,6279,14025342,1788939155217520,1788939155979037,1788939166324518,176,ok,,length,2aa55b51-b90a-41c5-94a1-3964206e7990
115,interactive-chat-34,interactive-users,standard,1,,0,interactive-system-prompt-34,1000,true,2036,59,0,0,0,0,0,,0,3030,23240136,1788939164432018,1788939165431185,1788939167232430,60,ok,,length,38b157ac-7032-4765-bd29-f4117e023487
64,interactive-chat-36,interactive-users,standard,1,,0,interactive-system-prompt-36,1000,true,4276,217,0,0,0,0,0,,0,5252,14134886,1788939155327657,1788939156017387,1788939167232476,218,ok,,length,838771ee-771a-494f-a91d-5d181ede4b08
104,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,4426,76,0,0,0,0,0,,0,5343,21696226,1788939162889004,1788939163230497,1788939167444253,77,ok,,length,e2ad5c2c-8226-4fcd-aa55-62ca797a58cc
85,interactive-chat-21,interactive-users,standard,1,,0,interactive-system-prompt-21,1000,true,4966,127,0,0,0,0,0,,0,5943,17665743,1788939158858101,1788939159847365,1788939167496563,128,ok,,length,74fed72e-c924-4085-8b84-5c139b621613
99,interactive-chat-10,interactive-users,standard,1,,0,interactive-system-prompt-10,1000,true,1394,89,0,0,0,0,0,,0,2384,20888750,1788939162081355,1788939162445616,1788939167560813,90,ok,,length,a47f94d9-58fc-4ef8-8820-fb3078ee7b1f
55,interactive-chat-14,interactive-users,standard,1,,0,interactive-system-prompt-14,1000,true,6688,216,0,0,0,0,0,,0,7649,13302534,1788939154494756,1788939155013017,1788939167633009,217,ok,,length,c217d843-3d65-41c7-94c8-950dd37e9cff
72,interactive-chat-15,interactive-users,standard,1,,0,interactive-system-prompt-15,1000,true,5242,225,0,0,0,0,0,,0,6237,15433416,1788939156625588,1788939157108662,1788939167726681,226,ok,,length,11696eca-4847-4e23-89ef-3774d2ea6ea6
120,interactive-chat-27,interactive-users,standard,1,,0,interactive-system-prompt-27,1000,true,4391,80,0,0,0,0,0,,0,5300,23561332,1788939164754075,1788939165431166,1788939167727629,81,ok,,length,60000d13-e309-4593-9d58-8763e6d109c1
102,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,4498,98,0,0,0,0,0,,0,5440,21510375,1788939162702690,1788939164401853,1788939168043245,99,ok,,length,8371d748-01c7-4641-bbf5-c4045b07eabc
92,interactive-chat-28,interactive-users,standard,1,,0,interactive-system-prompt-28,1000,true,4428,143,0,0,0,0,0,,0,5359,19103509,1788939160296358,1788939160631459,1788939168105468,144,ok,,length,d194058c-56da-4d6e-ac34-b67c90b1d5cc
51,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,2073,290,0,0,0,0,0,,0,3004,12521163,1788939153713710,1788939153892769,1788939168218749,291,ok,,length,2dfaf2c4-f977-404f-9212-d4d0c48d3f1d
78,interactive-chat-49,interactive-users,standard,1,,0,interactive-system-prompt-49,1000,true,1235,196,0,0,0,0,0,,0,2181,16952304,1788939158144315,1788939158252444,1788939168566106,197,ok,,length,ec015322-abce-4c63-bb01-6bb5b5d9f167
101,interactive-chat-15,interactive-users,standard,1,,0,interactive-system-prompt-15,1000,true,12870,127,0,0,0,0,0,,0,13789,21380072,1788939162572359,1788939163587989,1788939169046157,128,ok,,length,d60aacdb-e921-44be-a5a3-7b5895462b1d
57,interactive-chat-14,interactive-users,standard,1,,0,interactive-system-prompt-14,1000,true,6942,286,0,0,0,0,0,,0,7895,13392883,1788939154584932,1788939155211241,1788939169115670,287,ok,,length,c6cfc916-3e02-48e9-858f-6daefe6950e9
83,interactive-chat-22,interactive-users,standard,1,,0,interactive-system-prompt-22,1000,true,7002,223,0,0,0,0,0,,0,7888,17520270,1788939158713046,1788939159446595,1788939169311750,224,ok,,length,a6a93b5e-87ec-4f9e-946a-8fab77121f59
96,interactive-chat-12,interactive-users,standard,1,,0,interactive-system-prompt-12,1000,true,10583,156,0,0,0,0,0,,0,11518,20328544,1788939161521010,1788939162378019,1788939169350819,157,ok,,length,a6bb230f-e008-4f6e-bcff-43209dce0869
65,interactive-chat-29,interactive-users,standard,1,,0,interactive-system-prompt-29,1000,true,2044,284,0,0,0,0,0,,0,3038,14851934,1788939156043709,1788939156205898,1788939169398529,285,ok,,length,c556b220-c1c3-4216-91ff-d278f4133f04
116,interactive-chat-3,interactive-users,standard,1,,0,interactive-system-prompt-3,1000,true,4404,132,0,0,0,0,0,,0,5382,23358961,1788939164551340,1788939165481347,1788939170286107,133,ok,,length,eb9ce12d-e2ee-46a1-b2b8-f3dcc72884a2
58,interactive-chat-3,interactive-users,standard,1,,0,interactive-system-prompt-3,1000,true,1197,310,0,0,0,0,0,,0,2158,13567208,1788939154759328,1788939155086392,1788939172289956,311,ok,,length,6c425aff-3d70-4117-904d-2aebc0df535a
132,interactive-chat-26,interactive-users,standard,1,,0,interactive-system-prompt-26,1000,true,10994,25,0,0,0,0,0,,0,11865,28173671,1788939169366145,1788939170286951,1788939172310626,26,ok,,length,0c0b49e2-9756-4be2-9741-8a74726d62c5
76,interactive-chat-41,interactive-users,standard,1,,0,interactive-system-prompt-41,1000,true,2953,300,0,0,0,0,0,,0,3947,16043035,1788939157235032,1788939157509275,1788939172560017,301,ok,,length,ee17ad75-ca00-441b-91e3-33ccdd1ae2e6
59,interactive-chat-10,interactive-users,standard,1,,0,interactive-system-prompt-10,1000,true,2420,332,0,0,0,0,0,,0,3412,13603883,1788939154796099,1788939155465098,1788939172856642,333,ok,,length,a0637d77-20f1-417a-9f95-f0f94a5494ca
67,interactive-chat-8,interactive-users,standard,1,,0,interactive-system-prompt-8,1000,true,2608,315,0,0,0,0,0,,0,3580,14990289,1788939156182539,1788939157149495,1788939172987755,316,ok,,length,6646ce1e-acc5-4e96-aa49-3daac5a0ef99
100,interactive-chat-29,interactive-users,standard,1,,0,interactive-system-prompt-29,1000,true,5086,195,0,0,0,0,0,,0,6051,21254801,1788939162447754,1788939162818971,1788939173231820,196,ok,,length,594eb422-915d-43a1-8f54-7d691afedaad
79,interactive-chat-21,interactive-users,standard,1,,0,interactive-system-prompt-21,1000,true,1995,285,0,0,0,0,0,,0,2984,17107270,1788939158299919,1788939158460188,1788939173231929,286,ok,,length,02267cc8-ff31-4fb1-8f5e-ed09f83734a5
108,interactive-chat-29,interactive-users,standard,1,,0,interactive-system-prompt-29,1000,true,3011,166,0,0,0,0,0,,0,3993,21945369,1788939163137855,1788939163793973,1788939173433810,167,ok,,length,9dd7533d-8e58-4bbc-a334-f6c4e5de3476
137,interactive-chat-19,interactive-users,standard,1,,0,interactive-system-prompt-19,1000,true,5139,22,0,0,0,0,0,,0,6166,29036645,1788939170228941,1788939170977135,1788939173522373,23,ok,,length,ea0ccd58-b5ce-4ddf-b807-93b93c749f45
71,interactive-chat-12,interactive-users,standard,1,,0,interactive-system-prompt-12,1000,true,884,311,0,0,0,0,0,,0,1844,15287294,1788939156479444,1788939157090801,1788939173633408,312,ok,,length,c04f2c0b-70af-4d77-925b-9d89328ca834
125,interactive-chat-45,interactive-users,standard,1,,0,interactive-system-prompt-45,1000,true,1996,158,0,0,0,0,0,,0,2984,24800768,1788939165992660,1788939166189554,1788939173695210,159,ok,,length,7c01d916-4dfa-4809-b323-3a3b9a8a2cfb
91,interactive-chat-38,interactive-users,standard,1,,0,interactive-system-prompt-38,1000,true,1067,311,0,0,0,0,0,,0,2039,18649280,1788939159841471,1788939159948667,1788939174940496,312,ok,,length,23e1bf00-7679-4562-99ef-b2d35e55e8f5
80,interactive-chat-1,interactive-users,standard,1,,0,interactive-system-prompt-1,1000,true,3514,271,0,0,0,0,0,,0,4476,17225619,1788939158418066,1788939158671021,1788939174971640,272,ok,,length,a0f7e212-0b15-4072-ba40-a7acdec873c5
70,interactive-chat-17,interactive-users,standard,1,,0,interactive-system-prompt-17,1000,true,1767,329,0,0,0,0,0,,0,2766,15231516,1788939156423905,1788939157090798,1788939174994303,330,ok,,length,109db725-70eb-4c23-878e-ae8e6643997c
