request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
53,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,407,2769,0,0,0,0,0,,0,648,153873130,1788922416003379,1788922416071687,1788922469330987,2770,ok,,length,a1a71a81-0197-4d8e-9e57-b10dd9620234
62,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,429,2173,0,0,0,0,0,,0,673,189405160,1788922451535454,1788922451616863,1788922493464028,2174,ok,,length,e5533f41-14d7-4c03-873c-bfadb8052f5f
69,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,649,1723,0,0,0,0,0,,0,870,216477310,1788922478608016,1788922478704125,1788922513921184,1724,ok,,length,c9f295c3-f9d3-4b5a-a0da-7ada24e4e1f9
52,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,745,5284,0,0,0,0,0,,0,1007,150911984,1788922413042556,1788922413145097,1788922517847368,5285,ok,,length,da3201cc-6168-42c5-9a5e-1eefcd9d2882
63,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,496,4273,0,0,0,0,0,,0,753,202594497,1788922464724722,1788922464801151,1788922549981331,4274,ok,,length,31859ce6-7671-4489-ae45-c4e12f70b664
67,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,353,3809,0,0,0,0,0,,0,592,214883558,1788922477013517,1788922477079851,1788922554163857,3810,ok,,length,37daa51a-b1be-4e8b-a4ec-8185a508e963
54,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,688,6893,0,0,0,0,0,,0,934,155875680,1788922418005576,1788922418089612,1788922556634026,6894,ok,,length,cc8552a1-5a01-4d78-b48b-51c60ed8033a
86,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1590,1597,0,0,0,0,0,,0,1798,267717533,1788922529848012,1788922530010947,1788922564103939,1598,ok,,length,91677969-d5e4-4816-b296-b6ac468f5e0e
61,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1679,5656,0,0,0,0,0,,0,1905,188906056,1788922451036634,1788922451203710,1788922566068234,5657,ok,,length,f771c9b3-2a4f-47bb-a5ef-cbcf46b883ac
66,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,728,4584,0,0,0,0,0,,0,956,210831113,1788922472961346,1788922473052400,1788922566952516,4585,ok,,length,b03f1832-f469-41c6-8aba-1c07dd4a51c6
75,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,531,4463,0,0,0,0,0,,0,776,225220021,1788922487350541,1788922487429293,1788922579781949,4464,ok,,length,e70cde55-eceb-4d03-a0b6-4cb6e78cafaf
77,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,720,4208,0,0,0,0,0,,0,966,231631167,1788922493761474,1788922493840644,1788922581463442,4209,ok,,length,f57f774f-55b3-4182-b2a1-a89937c2f1d8
73,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,1392,4747,0,0,0,0,0,,0,1642,222572157,1788922484702561,1788922484870834,1788922583150591,4748,ok,,length,187a0825-2e0f-4c74-9f35-04116ceeba74
84,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,689,2741,0,0,0,0,0,,0,912,265497997,1788922527628618,1788922527727204,1788922586581298,2742,ok,,length,7d672c54-1637-487a-8351-ece8b30cfd7c
76,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,770,4960,0,0,0,0,0,,0,1019,228658744,1788922490788667,1788922490916661,1788922593839673,4961,ok,,length,995979a8-4b19-48d2-91dc-757bf7b27819
88,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1020,2867,0,0,0,0,0,,0,1275,285109082,1788922547239233,1788922547358506,1788922606534004,2868,ok,,length,2fe6e3e5-c91b-46f5-951d-a6e89c9fc2d0
60,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,785,8301,0,0,0,0,0,,0,1044,187952656,1788922450082630,1788922450186252,1788922620901133,8302,ok,,length,8634dd56-7e8a-4967-8664-243f1c309b6f
81,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,2938,5594,0,0,0,0,0,,0,3127,248192025,1788922510322778,1788922510580017,1788922630210299,5595,ok,,length,6039bee8-b0a5-4226-b7fc-8bf4930e8b58
65,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1676,7970,0,0,0,0,0,,0,1912,205359236,1788922467489905,1788922467645213,1788922632247080,7971,ok,,length,ba1c9a17-3a7b-42e4-98b0-2f588da6474a
55,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,404,10555,0,0,0,0,0,,0,648,157481601,1788922419611698,1788922419676662,1788922634901755,10556,ok,,length,6f6407ae-2649-4d23-9278-50e532d23728
70,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,582,8531,0,0,0,0,0,,0,813,219539009,1788922481668884,1788922481757962,1788922658932090,8532,ok,,length,89090551-2710-47a4-afcf-b920d5c1255c
64,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1440,9573,0,0,0,0,0,,0,1675,203749948,1788922465879891,1788922466023041,1788922664072142,9574,ok,,length,e71ddd1b-9086-493c-89ed-a210af5cf783
102,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,557,2097,0,0,0,0,0,,0,782,360689189,1788922622819903,1788922622904519,1788922666955632,2098,ok,,length,dd03f68a-8b7f-431a-993d-a0d2cb5f0c77
82,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,736,7759,0,0,0,0,0,,0,1002,248477070,1788922510607031,1788922510717306,1788922679775857,7760,ok,,length,797e9656-fdfb-4b02-8b2e-cf3528e87145
109,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,482,2050,0,0,0,0,0,,0,718,382604598,1788922644734867,1788922644842781,1788922689397447,2051,ok,,length,779a09d2-747f-4d2a-9ed8-81d890d5575b
