request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
50,deep-research-0,research-agents,standard,1,,0,deep-research-system-prompt-0,2000,true,72432,50,0,0,0,0,0,,0,73921,222572975,1788927174365724,1788927182275864,1788927183222158,51,ok,,length,d6648eaf-125e-4b25-8dda-22d8c21923d8
52,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,22307,50,0,0,0,0,0,,0,24138,241402797,1788927193195629,1788927195136919,1788927196760239,51,ok,,length,6ac559c4-0d9c-4d5e-8ecc-279e4577b820
53,deep-research-3,research-agents,standard,1,,0,deep-research-system-prompt-3,2000,true,13218,50,0,0,0,0,0,,0,14978,243896241,1788927195688224,1788927196631943,1788927197405750,51,ok,,length,d5a52358-9d27-4890-a656-6438fcb80ef3
54,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,24579,200,0,0,0,0,0,,0,26567,245667162,1788927197459119,1788927199401747,1788927202754369,201,ok,,length,be9eaff8-47ab-40f0-94ec-9ee6d76d59d5
56,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,42077,214,0,0,0,0,0,,0,43720,250760874,1788927202553633,1788927206443944,1788927210178176,215,ok,,length,47bd8ce6-b836-4c04-8a22-6b38ba58180a
59,deep-research-3,research-agents,standard,1,,0,deep-research-system-prompt-3,2000,true,32244,50,0,0,0,0,0,,0,34017,261306867,1788927213099459,1788927215839134,1788927216676099,51,ok,,length,45c4b14c-4ae6-48e3-83d8-e95d0934e3d9
55,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,40883,672,0,0,0,0,0,,0,42862,246278664,1788927198071612,1788927202004337,1788927219617849,673,ok,,length,835b9bfa-b273-4fc5-a81e-13af8d8de7a3
51,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,29865,1868,0,0,0,0,0,,0,31675,223027200,1788927174820085,1788927177831577,1788927221044793,1869,ok,,length,9fd60fbc-c97e-4a45-9dd7-e62a53560835
57,deep-research-1,research-agents,standard,1,,0,deep-research-system-prompt-1,2000,true,15272,774,0,0,0,0,0,,0,17050,252022518,1788927203814180,1788927204937469,1788927227554548,775,ok,,length,df681669-bdbd-47c4-99b9-3ab55c2d82db
58,deep-research-0,research-agents,standard,1,,0,deep-research-system-prompt-0,2000,true,81584,694,0,0,0,0,0,,0,82745,257378594,1788927209172187,1788927218311771,1788927230964832,695,ok,,length,81f3ea6f-1a2d-405e-b5ea-740921dbd2fa
