request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
50,interactive-chat-30,interactive-users,standard,1,,0,interactive-system-prompt-30,1000,true,3794,10,0,0,0,0,0,,0,4740,12502392,1788933825522213,1788933825896192,1788933826197716,11,ok,,length,4996d307-e336-46d9-9c96-b14da5a641f5
54,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,5055,10,0,0,0,0,0,,0,5998,13020400,1788933826040657,1788933826522162,1788933827848231,11,ok,,length,02c4a09c-cdaf-47f8-8a00-a40b9684ec28
66,interactive-chat-12,interactive-users,standard,1,,0,interactive-system-prompt-12,1000,true,3255,27,0,0,0,0,0,,0,4191,14883591,1788933827903501,1788933828233382,1788933829564512,28,ok,,length,2dc96345-38de-4fe3-9b3b-8b6da96b5540
68,interactive-chat-11,interactive-users,standard,1,,0,interactive-system-prompt-11,1000,true,5620,62,0,0,0,0,0,,0,6615,15061303,1788933828081094,1788933828668878,1788933831909508,63,ok,,length,13068f70-b017-42c6-b7a8-99e09c980e49
88,interactive-chat-18,interactive-users,standard,1,,0,interactive-system-prompt-18,1000,true,3796,10,0,0,0,0,0,,0,4777,18109790,1788933831130290,1788933831742502,1788933831996366,11,ok,,length,b1913d7c-5c0a-4cc1-bbfb-3966f601dd1d
89,interactive-chat-38,interactive-users,standard,1,,0,interactive-system-prompt-38,1000,true,1155,23,0,0,0,0,0,,0,2119,18456645,1788933831476684,1788933831845024,1788933832318243,24,ok,,length,d2a0b4aa-441a-431f-82ff-32f0ad6d38e6
94,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,2183,10,0,0,0,0,0,,0,3086,19624849,1788933832644434,1788933832821096,1788933833026393,11,ok,,length,22daeb0a-16ba-4fb0-89d1-456ba5a6771e
87,interactive-chat-10,interactive-users,standard,1,,0,interactive-system-prompt-10,1000,true,4687,42,0,0,0,0,0,,0,5613,18058930,1788933831079056,1788933831791159,1788933833291618,43,ok,,length,fe0f058c-8c8a-4af6-8031-7ce0cf94bbbe
69,interactive-chat-49,interactive-users,standard,1,,0,interactive-system-prompt-49,1000,true,2690,110,0,0,0,0,0,,0,3647,15206247,1788933828226372,1788933828533558,1788933833422943,111,ok,,length,6337902d-cea4-4297-ae4c-64e79453a01f
61,interactive-chat-8,interactive-users,standard,1,,0,interactive-system-prompt-8,1000,true,6430,142,0,0,0,0,0,,0,7361,14013347,1788933827033442,1788933827791305,1788933834169419,143,ok,,length,9ec67320-eac4-4021-9cf5-e45d8526fc98
63,interactive-chat-10,interactive-users,standard,1,,0,interactive-system-prompt-10,1000,true,2618,163,0,0,0,0,0,,0,3576,14130383,1788933827150410,1788933827791364,1788933836945108,164,ok,,length,e2a0829e-100c-47bd-bf37-cd5c398cbc5f
90,interactive-chat-37,interactive-users,standard,1,,0,interactive-system-prompt-37,1000,true,2922,84,0,0,0,0,0,,0,3865,18598547,1788933831618818,1788933832083879,1788933838059481,85,ok,,length,3a83f179-ec8b-4d6f-b328-4d71cd5c3e8f
119,interactive-chat-15,interactive-users,standard,1,,0,interactive-system-prompt-15,1000,true,913,10,0,0,0,0,0,,0,1922,23469764,1788933836490008,1788933837636463,1788933838120606,11,ok,,length,045514ff-ee90-414b-b335-aaf70499ada7
122,interactive-chat-45,interactive-users,standard,1,,0,interactive-system-prompt-45,1000,true,3315,10,0,0,0,0,0,,0,4304,24249364,1788933837269181,1788933837636353,1788933838120626,11,ok,,length,b985b303-bd1c-4115-977c-ee90ea811201
60,interactive-chat-39,interactive-users,standard,1,,0,interactive-system-prompt-39,1000,true,2463,164,0,0,0,0,0,,0,3446,13823934,1788933826843676,1788933827204526,1788933838129085,165,ok,,length,0154e99f-4b23-4804-a6ab-39dc394f50d5
62,interactive-chat-45,interactive-users,standard,1,,0,interactive-system-prompt-45,1000,true,5288,175,0,0,0,0,0,,0,6279,14025342,1788933827045207,1788933827798848,1788933838426506,176,ok,,length,baf42e83-67a6-41f4-9814-88a89b0e498d
85,interactive-chat-21,interactive-users,standard,1,,0,interactive-system-prompt-21,1000,true,4966,127,0,0,0,0,0,,0,5943,17665743,1788933830685649,1788933831391929,1788933838519402,128,ok,,length,e08d1207-7e0e-44df-a633-f701a1b204bd
115,interactive-chat-34,interactive-users,standard,1,,0,interactive-system-prompt-34,1000,true,2036,59,0,0,0,0,0,,0,3030,23240136,1788933836259763,1788933836944767,1788933839442051,60,ok,,length,740c60e4-9686-421f-8b4c-44fe6b18dd78
104,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,4426,76,0,0,0,0,0,,0,5343,21696226,1788933834716312,1788933835060735,1788933839605242,77,ok,,length,e2140151-4a23-42be-a746-cfd5c52629ab
55,interactive-chat-14,interactive-users,standard,1,,0,interactive-system-prompt-14,1000,true,6688,216,0,0,0,0,0,,0,7649,13302534,1788933826322908,1788933826901358,1788933839611129,217,ok,,length,e9da9f62-b4e8-44a7-b706-614a3303bbe4
99,interactive-chat-10,interactive-users,standard,1,,0,interactive-system-prompt-10,1000,true,1394,89,0,0,0,0,0,,0,2384,20888750,1788933833909423,1788933834238326,1788933839673561,90,ok,,length,2ea320dd-0262-4f6e-921f-c7d62d9723c8
64,interactive-chat-36,interactive-users,standard,1,,0,interactive-system-prompt-36,1000,true,4276,217,0,0,0,0,0,,0,5252,14134886,1788933827155121,1788933827798827,1788933839721442,218,ok,,length,5995f800-22f8-4724-95cc-2331046b7aae
92,interactive-chat-28,interactive-users,standard,1,,0,interactive-system-prompt-28,1000,true,4428,143,0,0,0,0,0,,0,5359,19103509,1788933832123324,1788933832443589,1788933839853289,144,ok,,length,92e43e45-3643-4cc9-8a1b-a94cbe7216eb
120,interactive-chat-27,interactive-users,standard,1,,0,interactive-system-prompt-27,1000,true,4391,80,0,0,0,0,0,,0,5300,23561332,1788933836581662,1788933837319950,1788933839968519,81,ok,,length,249dfc77-765d-493a-a4ad-374fa6ca8fbc
72,interactive-chat-15,interactive-users,standard,1,,0,interactive-system-prompt-15,1000,true,5242,225,0,0,0,0,0,,0,6237,15433416,1788933828453841,1788933828964382,1788933840178406,226,ok,,length,b127ed87-04e6-488d-93ac-fef630b972e7
78,interactive-chat-49,interactive-users,standard,1,,0,interactive-system-prompt-49,1000,true,1235,196,0,0,0,0,0,,0,2181,16952304,1788933829972631,1788933830077696,1788933840474615,197,ok,,length,2f886559-7210-4268-b305-747aca3753a9
51,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,2073,290,0,0,0,0,0,,0,3004,12521163,1788933825541262,1788933825718439,1788933840623088,291,ok,,length,37a88de7-b96f-4dbb-bd14-9f75c9495817
102,interactive-chat-31,interactive-users,standard,1,,0,interactive-system-prompt-31,1000,true,4498,98,0,0,0,0,0,,0,5440,21510375,1788933834530591,1788933836114743,1788933840738407,99,ok,,length,68c668dd-8cac-4689-aa08-4c6c85410437
101,interactive-chat-15,interactive-users,standard,1,,0,interactive-system-prompt-15,1000,true,12870,127,0,0,0,0,0,,0,13789,21380072,1788933834399881,1788933835361013,1788933840857919,128,ok,,length,07157608-efd3-4d75-ac82-3f74bfd7277b
96,interactive-chat-12,interactive-users,standard,1,,0,interactive-system-prompt-12,1000,true,10583,156,0,0,0,0,0,,0,11518,20328544,1788933833348363,1788933834114081,1788933841085048,157,ok,,length,9aab46dd-a034-4aa9-abc3-070b377028cf
116,interactive-chat-3,interactive-users,standard,1,,0,interactive-system-prompt-3,1000,true,4404,132,0,0,0,0,0,,0,5382,23358961,1788933836378768,1788933837357080,1788933841125604,133,ok,,length,e6cc5a4f-6c05-4eea-93de-8597bf046c4a
57,interactive-chat-14,interactive-users,standard,1,,0,interactive-system-prompt-14,1000,true,6942,286,0,0,0,0,0,,0,7895,13392883,1788933826412742,1788933826981658,1788933842189801,287,ok,,length,7dc9270d-2b45-42f1-bd9b-40c9dfa4fe68
83,interactive-chat-22,interactive-users,standard,1,,0,interactive-system-prompt-22,1000,true,7002,223,0,0,0,0,0,,0,7888,17520270,1788933830540831,1788933831049591,1788933842453365,224,ok,,length,a347a038-5ac9-499a-8738-01808d844906
65,interactive-chat-29,interactive-users,standard,1,,0,interactive-system-prompt-29,1000,true,2044,284,0,0,0,0,0,,0,3038,14851934,1788933827871594,1788933828039258,1788933842566302,285,ok,,length,357abefe-19ec-453b-8670-8195507370ca
132,interactive-chat-26,interactive-users,standard,1,,0,interactive-system-prompt-26,1000,true,10994,25,0,0,0,0,0,,0,11865,28173671,1788933841194013,1788933842123903,1788933844053648,26,ok,,length,8a91fa5f-2b92-43eb-b70e-1953ee8ef9cf
76,interactive-chat-41,interactive-users,standard,1,,0,interactive-system-prompt-41,1000,true,2953,300,0,0,0,0,0,,0,3947,16043035,1788933829062839,1788933829341801,1788933845185184,301,ok,,length,65159acc-b2a2-48b3-8107-4b93a9598418
67,interactive-chat-8,interactive-users,standard,1,,0,interactive-system-prompt-8,1000,true,2608,315,0,0,0,0,0,,0,3580,14990289,1788933828010095,1788933828202090,1788933845230675,316,ok,,length,61270c78-e864-4430-bde3-7e9348ec48c6
71,interactive-chat-12,interactive-users,standard,1,,0,interactive-system-prompt-12,1000,true,884,311,0,0,0,0,0,,0,1844,15287294,1788933828307072,1788933828984257,1788933845276248,312,ok,,length,8af16f74-ebb3-4d4b-911e-8962ff716eaa
