request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
53,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,407,2769,0,0,0,0,0,,0,648,153873130,1788930730008453,1788930730083266,1788930783490751,2770,ok,,length,1b18f70b-a393-4d78-96f8-0a04bba2a03d
62,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,429,2173,0,0,0,0,0,,0,673,189405160,1788930765539945,1788930765615829,1788930809108189,2174,ok,,length,ac9c651c-a34d-4ac9-ad18-cb3f188f0390
69,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,649,1723,0,0,0,0,0,,0,870,216477310,1788930792611803,1788930792706891,1788930828660876,1724,ok,,length,3bb771fd-6669-41f3-a5d2-81a7412f9361
52,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,745,5284,0,0,0,0,0,,0,1007,150911984,1788930727047254,1788930727139129,1788930832431440,5285,ok,,length,98a906e6-e8cd-4dc4-9630-bce8becbeb81
63,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,496,4273,0,0,0,0,0,,0,753,202594497,1788930778729997,1788930778802973,1788930868256184,4274,ok,,length,dcca8709-9e80-4a59-8cdd-3b380804bf56
67,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,353,3809,0,0,0,0,0,,0,592,214883558,1788930791018707,1788930791098213,1788930871359765,3810,ok,,length,44feb2de-ed0e-401b-b6ff-8f8be7620fa6
54,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,688,6893,0,0,0,0,0,,0,934,155875680,1788930732010596,1788930732101105,1788930872082132,6894,ok,,length,1c716609-19a3-46f8-b78e-c12a40a5e538
86,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1590,1597,0,0,0,0,0,,0,1798,267717533,1788930843852111,1788930844005323,1788930877131064,1598,ok,,length,a33a5afb-4530-4f26-a53c-929e1904d5d2
61,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1679,5656,0,0,0,0,0,,0,1905,188906056,1788930765040614,1788930765191147,1788930882064508,5657,ok,,length,bd38126b-aa82-468a-bfc1-2ed1afbeba9e
66,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,728,4584,0,0,0,0,0,,0,956,210831113,1788930786966045,1788930787056085,1788930883124136,4585,ok,,length,b0cc8877-6f24-465e-a471-8ba8cc3d35da
75,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,531,4463,0,0,0,0,0,,0,776,225220021,1788930801354663,1788930801439359,1788930891927048,4464,ok,,length,b4cc39f4-e682-4c2a-8d00-533ea5dca730
77,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,720,4208,0,0,0,0,0,,0,966,231631167,1788930807765918,1788930807862255,1788930893760333,4209,ok,,length,dca46cfa-a9e2-4555-a31d-ed3c2127c85e
73,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,1392,4747,0,0,0,0,0,,0,1642,222572157,1788930798706996,1788930798850142,1788930898613947,4748,ok,,length,e254ebda-dfad-48bd-bf02-7e3d468e2c85
84,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,689,2741,0,0,0,0,0,,0,912,265497997,1788930841632654,1788930841729165,1788930899163397,2742,ok,,length,78db7804-4a1d-4bee-a4e0-4c02f6ba33d7
76,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,770,4960,0,0,0,0,0,,0,1019,228658744,1788930804793412,1788930804890172,1788930906012537,4961,ok,,length,3a5952c4-1353-4b9b-8128-b00c3c919d39
88,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1020,2867,0,0,0,0,0,,0,1275,285109082,1788930861244453,1788930861370529,1788930922146546,2868,ok,,length,4e52f2cf-8530-46d7-811e-0137065407fd
60,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,785,8301,0,0,0,0,0,,0,1044,187952656,1788930764087745,1788930764194889,1788930937081246,8302,ok,,length,28fc91c7-9c72-4c3b-946e-f0953c84d266
81,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,2938,5594,0,0,0,0,0,,0,3127,248192025,1788930824326991,1788930824583334,1788930942283196,5595,ok,,length,ec6200a5-2675-4a49-b359-875bce5942a4
65,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1676,7970,0,0,0,0,0,,0,1912,205359236,1788930781494730,1788930781665069,1788930949532329,7971,ok,,length,3405e6aa-650a-4c05-92ee-130a9a015c84
55,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,404,10555,0,0,0,0,0,,0,648,157481601,1788930733616502,1788930733688836,1788930951639685,10556,ok,,length,d1ae71da-f141-4541-af86-f0488039beab
70,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,582,8531,0,0,0,0,0,,0,813,219539009,1788930795674490,1788930795760342,1788930976274943,8532,ok,,length,a936e166-03cc-49fd-a4e1-ca68931741c4
102,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,557,2097,0,0,0,0,0,,0,782,360689189,1788930936824613,1788930936907559,1788930981818369,2098,ok,,length,aa98a221-9bb1-42ad-acc2-ff3620c73d71
64,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1440,9573,0,0,0,0,0,,0,1675,203749948,1788930779885161,1788930780034542,1788930981988731,9574,ok,,length,24280434-5768-47fe-9b1e-638550a4e0f1
82,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,736,7759,0,0,0,0,0,,0,1002,248477070,1788930824612094,1788930824709857,1788930991380780,7760,ok,,length,4a826205-4c5e-4c2c-9668-c6349c4a3aa2
109,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,482,2050,0,0,0,0,0,,0,718,382604598,1788930958740065,1788930958837074,1788931003648501,2051,ok,,length,46e399f3-53df-49a6-b216-365a5243427b
111,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,495,1755,0,0,0,0,0,,0,741,389388554,1788930965523582,1788930965604234,1788931004350001,1756,ok,,length,af1a42bb-5dd6-47fc-a36d-f8ebf7ceed07
95,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,844,5085,0,0,0,0,0,,0,1077,326348564,1788930902483467,1788930902582174,1788931017378400,5086,ok,,length,d592d5b6-b8c1-48d6-8793-64f9c08d3e7c
104,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,556,3524,0,0,0,0,0,,0,786,367458299,1788930943593431,1788930943667771,1788931021422611,3525,ok,,length,5b7c8b71-295f-40c3-a565-5ec3f249f452
100,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,679,4350,0,0,0,0,0,,0,928,347578332,1788930923713312,1788930923815484,1788931023536016,4351,ok,,length,d85afc52-ef82-41ab-bf6c-ddf613c41b30
116,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,1869,2269,0,0,0,0,0,,0,2093,399300233,1788930975434965,1788930975607571,1788931027249123,2270,ok,,length,ab3a59ed-5ca3-426c-80fd-b21b24001078
78,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1010,10081,0,0,0,0,0,,0,1211,234202488,1788930810337431,1788930810469863,1788931029483674,10082,ok,,length,9cc1bf6d-2d2a-45af-859a-66002539d9bf
