request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
50,deep-research-0,research-agents,standard,1,,0,deep-research-system-prompt-0,2000,true,72432,50,0,0,0,0,0,,0,73921,222572975,1788932336447669,1788932345157825,1788932346005813,50,ok,,length,528b51b0-457d-4b17-a8f7-059dd312cf45
52,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,22307,50,0,0,0,0,0,,0,24138,241402797,1788932355277463,1788932356981042,1788932357756073,51,ok,,length,4a7e1abe-79ef-4bc9-b269-0273ec914b22
53,deep-research-3,research-agents,standard,1,,0,deep-research-system-prompt-3,2000,true,13218,50,0,0,0,0,0,,0,14978,243896241,1788932357770207,1788932358673568,1788932359442265,51,ok,,length,26a9130c-1ac1-4696-80cd-c5de0bf9a667
54,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,24579,200,0,0,0,0,0,,0,26567,245667162,1788932359541584,1788932361504918,1788932369587330,201,ok,,length,295a7b86-4f70-49fd-a673-65ffde0e1443
56,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,42077,214,0,0,0,0,0,,0,43720,250760874,1788932364635628,1788932368506751,1788932372184675,215,ok,,length,2084f6f2-2c39-4657-ade1-a478077fed64
51,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,29865,1868,0,0,0,0,0,,0,31675,223027200,1788932336901201,1788932339377735,1788932374147160,1869,ok,,length,53ab9c16-befc-4b8d-a339-fa5145f71801
59,deep-research-3,research-agents,standard,1,,0,deep-research-system-prompt-3,2000,true,32244,50,0,0,0,0,0,,0,34017,261306867,1788932375181175,1788932377898667,1788932378680810,51,ok,,length,d2e445cb-f16a-4cc7-8576-f2ef0cf30c54
55,deep-research-2,research-agents,standard,1,,0,deep-research-system-prompt-2,2000,true,40883,672,0,0,0,0,0,,0,42862,246278664,1788932360153118,1788932365121722,1788932387427284,672,ok,,length,ccc05244-2ad1-4252-a255-3dcc7f80d498
57,deep-research-1,research-agents,standard,1,,0,deep-research-system-prompt-1,2000,true,15272,774,0,0,0,0,0,,0,17050,252022518,1788932365896598,1788932367026069,1788932390217806,774,ok,,length,3056fae9-ece3-470f-b4c0-8fb0baeadb92
58,deep-research-0,research-agents,standard,1,,0,deep-research-system-prompt-0,2000,true,81584,694,0,0,0,0,0,,0,82745,257378594,1788932371253828,1788932380491177,1788932393468143,694,ok,,length,ce0f3c76-b30b-4af6-9dde-ab50127fab4d
60,deep-research-1,research-agents,standard,1,,0,deep-research-system-prompt-1,2000,true,41026,247,0,0,0,0,0,,0,42794,276491902,1788932390366729,1788932394110295,1788932398144583,248,ok,,length,12c27ff3-506a-4f36-bd0d-5fcfe3ce080e
61,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,55150,50,0,0,0,0,0,,0,56656,280025478,1788932393900738,1788932399289436,1788932400093870,51,ok,,length,be3ebe81-48a8-47ca-ae0e-1ca8b7ac5a47
64,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,24151,50,0,0,0,0,0,,0,25932,293540556,1788932407414407,1788932409322035,1788932410125166,51,ok,,length,f5baf390-470a-4ca8-92b7-029bee4edc84
62,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,24291,889,0,0,0,0,0,,0,26151,285831516,1788932399705900,1788932401845700,1788932418203191,890,ok,,length,2ee4fe79-24ff-4cb2-a618-d7accc482a55
66,deep-research-3,research-agents,standard,1,,0,deep-research-system-prompt-3,2000,true,99314,50,0,0,0,0,0,,0,100580,302751460,1788932416626208,1788932428692192,1788932429569781,50,ok,,length,dcf3cdcf-3051-4521-af66-642fa25a8bb0
67,deep-research-4,research-agents,standard,1,,0,deep-research-system-prompt-4,2000,true,24640,544,0,0,0,0,0,,0,26499,304788978,1788932418663243,1788932420636113,1788932429730881,545,ok,,length,eb737167-ad68-42f0-a9cb-c6d7be39cad8
65,deep-research-0,research-agents,standard,1,,0,deep-research-system-prompt-0,2000,true,24207,1279,0,0,0,0,0,,0,26151,294755695,1788932408630284,1788932410566408,1788932437502709,1280,ok,,length,e451db2c-a37a-476e-b522-3441254b42b0
71,deep-research-1,research-agents,standard,1,,0,deep-research-system-prompt-1,2000,true,38327,50,0,0,0,0,0,,0,40082,324498717,1788932438373363,1788932442230657,1788932443127539,51,ok,,length,bd8863bf-b8d2-4378-8190-a17f8f8b4fff
70,deep-research-1,research-agents,standard,1,,0,deep-research-system-prompt-1,2000,true,8703,331,0,0,0,0,0,,0,10634,324401825,1788932438276111,1788932438870468,1788932444452520,332,ok,,length,3f99de6d-0f68-4ec1-ba16-5bc83d5ef74b
