request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason,x_request_id
53,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,407,2769,0,0,0,0,0,,0,648,153873130,1788925541543501,1788925541609114,1788925596152006,2770,ok,,length,d7a1bcb7-6fea-4027-8860-63132af0d88c
62,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,429,2173,0,0,0,0,0,,0,673,189405160,1788925577076079,1788925577149297,1788925618938128,2174,ok,,length,47b1f5cd-854f-4961-965f-cb46a55ae802
69,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,649,1723,0,0,0,0,0,,0,870,216477310,1788925604147915,1788925604241714,1788925637803175,1724,ok,,length,519214ff-7353-41b6-bc97-30032dd48cfe
52,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,745,5284,0,0,0,0,0,,0,1007,150911984,1788925538583117,1788925538691617,1788925643686865,5285,ok,,length,c6c2dee5-2bb5-4365-aa86-51e01e3b1193
63,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,496,4273,0,0,0,0,0,,0,753,202594497,1788925590265201,1788925590340009,1788925675869342,4274,ok,,length,c815fe3f-ff6d-48b9-a248-8372d4031b11
67,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,353,3809,0,0,0,0,0,,0,592,214883558,1788925602554595,1788925602628782,1788925681010033,3810,ok,,length,03904516-3bd7-41b4-ba8d-71c797843247
54,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,688,6893,0,0,0,0,0,,0,934,155875680,1788925543546575,1788925543637677,1788925682828273,6894,ok,,length,8d26fb18-8f70-410d-ba1b-8673353f3e2b
86,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1590,1597,0,0,0,0,0,,0,1798,267717533,1788925655388515,1788925655558349,1788925689781871,1598,ok,,length,f6511f08-1693-430b-861f-1c21f18a6327
61,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1679,5656,0,0,0,0,0,,0,1905,188906056,1788925576577200,1788925576732560,1788925690150397,5657,ok,,length,4a337a19-0fb7-4a1b-9950-2541026e3e57
66,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,728,4584,0,0,0,0,0,,0,956,210831113,1788925598501294,1788925598588890,1788925691769736,4585,ok,,length,8c8b8f12-f164-4730-9e23-48a5948bbb10
75,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,531,4463,0,0,0,0,0,,0,776,225220021,1788925612890236,1788925612967536,1788925704962265,4464,ok,,length,3ef1bea3-932b-4ebd-b1c7-6afe8e6be7eb
77,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,720,4208,0,0,0,0,0,,0,966,231631167,1788925619301612,1788925619396328,1788925706638452,4209,ok,,length,34a1da4d-eac1-46d1-a67c-48aeaf41a58c
73,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,1392,4747,0,0,0,0,0,,0,1642,222572157,1788925610243354,1788925610394223,1788925708396783,4748,ok,,length,cc9c96fa-7f94-4197-a578-8ca05446ae76
84,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,689,2741,0,0,0,0,0,,0,912,265497997,1788925653168779,1788925653273100,1788925710501716,2742,ok,,length,22f0e714-16e5-4ce3-a3bd-c173f7631d04
76,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,770,4960,0,0,0,0,0,,0,1019,228658744,1788925616329060,1788925616418839,1788925718861949,4961,ok,,length,59dfeee7-b6df-46b7-808a-7067ccf809ec
88,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1020,2867,0,0,0,0,0,,0,1275,285109082,1788925672780070,1788925673028715,1788925734703322,2868,ok,,length,cb665813-9d1a-4519-8899-7140a017b925
60,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,785,8301,0,0,0,0,0,,0,1044,187952656,1788925575623806,1788925575721508,1788925745878505,8302,ok,,length,c7916cc3-cede-4a2f-82ca-5fa0678d476e
81,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,2938,5594,0,0,0,0,0,,0,3127,248192025,1788925635862969,1788925636128733,1788925753768346,5595,ok,,length,24e952ac-dd3c-4d11-99b2-d7b5a05b6c5d
65,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1676,7970,0,0,0,0,0,,0,1912,205359236,1788925593030389,1788925593190472,1788925758634057,7971,ok,,length,38273788-b29d-42ce-9e8f-8e2838179e94
55,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,404,10555,0,0,0,0,0,,0,648,157481601,1788925545152616,1788925545218232,1788925761646987,10556,ok,,length,65d7b49d-565d-4e99-b779-45684ea20b6b
70,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,582,8531,0,0,0,0,0,,0,813,219539009,1788925607209359,1788925607292079,1788925787829195,8532,ok,,length,a4bc4105-1c24-4820-b5ba-ea5034d72162
102,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,557,2097,0,0,0,0,0,,0,782,360689189,1788925748359803,1788925748446420,1788925792275723,2098,ok,,length,c31ebb8e-3067-4601-b7fc-c60bc4eb3e94
64,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1440,9573,0,0,0,0,0,,0,1675,203749948,1788925591420768,1788925591573300,1788925793005216,9574,ok,,length,49ab6cce-5cad-4c60-a1d8-d0b3cbc4e097
82,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,736,7759,0,0,0,0,0,,0,1002,248477070,1788925636147792,1788925636261666,1788925799290114,7760,ok,,length,e44a2074-18c6-4195-b8ee-f0b53d0af1fd
109,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,482,2050,0,0,0,0,0,,0,718,382604598,1788925770275198,1788925770349894,1788925814754477,2051,ok,,length,22111778-5e1b-49f7-9326-8355923f419c
111,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,495,1755,0,0,0,0,0,,0,741,389388554,1788925777058717,1788925777141911,1788925817359603,1756,ok,,length,44cd454c-7508-4be5-9dfd-67f99be4b463
95,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,844,5085,0,0,0,0,0,,0,1077,326348564,1788925714019696,1788925714118179,1788925823497830,5086,ok,,length,a1db0f27-15e0-4e2f-8049-e32e54d47d74
100,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,679,4350,0,0,0,0,0,,0,928,347578332,1788925735248878,1788925735357900,1788925829313859,4351,ok,,length,9c33d535-dc9f-40d9-8a52-d6d11d0ac04c
104,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,556,3524,0,0,0,0,0,,0,786,367458299,1788925755129147,1788925755214786,1788925836266171,3525,ok,,length,c9ab284e-ff03-46c9-8124-459761197a79
116,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,1869,2269,0,0,0,0,0,,0,2093,399300233,1788925786970819,1788925787153005,1788925838481600,2270,ok,,length,529fb9fd-b541-45c1-b24a-8432a065a523
78,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,1010,10081,0,0,0,0,0,,0,1211,234202488,1788925621873258,1788925621981290,1788925841758210,10082,ok,,length,cb29abcf-6073-4cb2-8b8a-0e825fff850d
71,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,706,10967,0,0,0,0,0,,0,943,221463382,1788925609133934,1788925609233408,1788925841888840,10968,ok,,length,24a32e3a-4b6a-464b-a43f-305566478f46
117,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,1220,2528,0,0,0,0,0,,0,1451,399603927,1788925787275075,1788925787413077,1788925844656014,2529,ok,,length,0b5e602d-93e1-41cf-bc76-95732c4031e0
105,reasoning-4,reasoning-jobs,standard,1,,0,reasoning-system-prompt-4,250,true,407,4056,0,0,0,0,0,,0,656,367749759,1788925755420127,1788925755490605,1788925849496102,4057,ok,,length,a4651622-2158-49f4-9b69-a0626ca21593
91,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,617,7524,0,0,0,0,0,,0,857,293779587,1788925681450629,1788925681528958,1788925850268971,7525,ok,,length,53335b24-f8c6-4120-8c95-43e6ae447122
120,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,1234,2571,0,0,0,0,0,,0,1509,404222669,1788925791893125,1788925792042972,1788925850502604,2572,ok,,length,92350938-584e-4fb5-b9cf-52bb9fc205c2
96,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,1965,6063,0,0,0,0,0,,0,2200,332915836,1788925720586811,1788925720771999,1788925853113115,6064,ok,,length,e46099ec-0ef0-4728-8c96-ab8f585e31e8
89,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,1253,7905,0,0,0,0,0,,0,1512,288054436,1788925675724687,1788925675869409,1788925853136900,7906,ok,,length,b12e55de-21e6-46bc-a01d-ea8adb8a1b50
80,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,1272,10187,0,0,0,0,0,,0,1492,247704488,1788925635375692,1788925635527758,1788925854248421,10188,ok,,length,0f864ffb-bed4-413c-87e5-23eb316e556f
94,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,2728,6989,0,0,0,0,0,,0,2990,316412931,1788925704083867,1788925704339164,1788925856316130,6990,ok,,length,e57b9edf-9c74-47cb-a08d-1bd1cf6f665a
83,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,789,9685,0,0,0,0,0,,0,1030,256543002,1788925644213493,1788925644315942,1788925859669761,9686,ok,,length,e85f9b1e-9f50-4b9e-a875-1486f3a915a4
68,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,2326,12046,0,0,0,0,0,,0,2555,215762753,1788925603433939,1788925603632389,1788925860018807,12047,ok,,length,31c46085-ace4-4e91-ae1d-6d8887a9b854
107,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,733,4465,0,0,0,0,0,,0,978,373971066,1788925761641612,1788925761737862,1788925860372741,4466,ok,,length,e81d99bc-462b-49b9-9eff-267bedd1ffa6
114,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,226,3516,0,0,0,0,0,,0,467,392785625,1788925780456603,1788925780533593,1788925863144995,3517,ok,,length,bc5752e0-4491-490f-9f3e-fb59e73a4cba
92,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,1122,8311,0,0,0,0,0,,0,1378,299950846,1788925687621232,1788925687759005,1788925868092006,8312,ok,,length,865d3c29-4037-48ed-a293-0b9ea37564a6
122,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,858,3290,0,0,0,0,0,,0,1093,406241320,1788925793912091,1788925794029580,1788925868614836,3291,ok,,length,72472127-e215-4345-a962-859d2d590b79
79,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,376,10779,0,0,0,0,0,,0,617,242730243,1788925630400674,1788925630466930,1788925869064811,10780,ok,,length,852c361e-e86f-49a9-bee4-6d3e150b3a16
123,reasoning-4,reasoning-jobs,standard,1,,0,reasoning-system-prompt-4,250,true,1274,3256,0,0,0,0,0,,0,1525,408255339,1788925795925892,1788925796084364,1788925873262065,3257,ok,,length,5aa7f04e-dc00-4e1f-be09-679c26248a3d
124,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,229,3146,0,0,0,0,0,,0,473,412646962,1788925800317384,1788925800381611,1788925875122272,3147,ok,,length,e877b657-68f3-4304-8937-83d123e99140
129,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,589,2952,0,0,0,0,0,,0,817,428194442,1788925815865699,1788925815966032,1788925882782763,2953,ok,,length,7ba15019-35c2-48d3-a08c-674566c4ffef
56,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,1036,16038,0,0,0,0,0,,0,1349,158120408,1788925545790931,1788925545926637,1788925883565945,16039,ok,,length,bc22d0a5-ad82-443e-aed9-8ee045cb9f7d
90,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,510,9916,0,0,0,0,0,,0,785,288226638,1788925675896920,1788925675980627,1788925890876901,9917,ok,,length,62ca3c93-b3f3-4c61-a64a-93e40088cc63
137,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,1246,2141,0,0,0,0,0,,0,1494,459193032,1788925846863379,1788925847003331,1788925894627170,2142,ok,,length,757b67b6-ce6b-4208-9a59-132e2f26c199
130,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,303,3336,0,0,0,0,0,,0,550,429707368,1788925817377951,1788925817456708,1788925896686503,3337,ok,,length,f109665c-3386-40d4-850e-e1bef461f949
99,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,699,7207,0,0,0,0,0,,0,928,347070732,1788925734741755,1788925734840826,1788925901245289,7208,ok,,length,d70a9858-b5e5-4b09-8179-0bc9958f18a9
103,reasoning-3,reasoning-jobs,standard,1,,0,reasoning-system-prompt-3,250,true,770,6655,0,0,0,0,0,,0,1012,360744048,1788925748414468,1788925748515020,1788925903176867,6656,ok,,length,04d1da27-b714-41d3-9cb2-0bb78a6cd15d
51,reasoning-4,reasoning-jobs,standard,1,,0,reasoning-system-prompt-4,250,true,884,17197,0,0,0,0,0,,0,1109,149864699,1788925537535241,1788925537648892,1788925906512127,17198,ok,,length,09855088-4fbb-439d-956e-8ee371b035de
127,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,2386,4630,0,0,0,0,0,,0,2677,417080796,1788925804751967,1788925805002214,1788925909075393,4631,ok,,length,58c90dbb-2640-43fd-8b63-cf9aebd41c88
131,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,3082,4259,0,0,0,0,0,,0,3329,431389640,1788925819060306,1788925819345852,1788925914579952,4260,ok,,length,f43fdef3-3133-492e-aab6-439ba8f53969
133,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,948,3823,0,0,0,0,0,,0,1177,442066787,1788925829737071,1788925829856059,1788925915146998,3824,ok,,length,2dae8fa2-3a01-40d3-9e53-98029d8589e6
126,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,812,4924,0,0,0,0,0,,0,1066,416084543,1788925803755618,1788925803865607,1788925919862688,4925,ok,,length,4e3d449c-e9d6-41c7-8db4-8ad6b1bdd417
148,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,654,1521,0,0,0,0,0,,0,890,496948583,1788925884619236,1788925884736802,1788925920000779,1522,ok,,length,4e9debb9-c564-44f5-8595-440f8da846aa
98,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,1031,8199,0,0,0,0,0,,0,1278,346750346,1788925734421215,1788925734554265,1788925923807370,8200,ok,,length,0f04cd6b-644b-4d1d-9431-5187e2b9d655
113,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,914,6670,0,0,0,0,0,,0,1187,391179183,1788925778849736,1788925778956842,1788925927025990,6671,ok,,length,6e9379bb-0653-489b-ae65-1d828f00413d
128,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,1742,5363,0,0,0,0,0,,0,1972,423045929,1788925810716196,1788925810898553,1788925930190714,5364,ok,,length,7fbebfd4-8300-4a46-aefc-4c9a2443dac7
115,reasoning-4,reasoning-jobs,standard,1,,0,reasoning-system-prompt-4,250,true,746,6656,0,0,0,0,0,,0,970,393108034,1788925780778466,1788925780877527,1788925936421265,6657,ok,,length,daacf155-6d2c-455e-b8d3-949921314b8b
93,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,1331,10744,0,0,0,0,0,,0,1569,309630027,1788925697301173,1788925697454164,1788925942347933,10745,ok,,length,caef05b4-7ac5-47fd-a018-5edd05c6d8af
140,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,772,3847,0,0,0,0,0,,0,1011,473367315,1788925861037805,1788925861151603,1788925944162542,3848,ok,,length,9e9003c4-c7e4-4dac-838a-853bde00c3ba
110,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,695,8109,0,0,0,0,0,,0,904,385558285,1788925773229145,1788925773332478,1788925950967485,8110,ok,,length,4c04c9a9-4b61-4353-873e-7e9e745f3d24
101,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,1772,9918,0,0,0,0,0,,0,1978,359608075,1788925747278801,1788925747451913,1788925962711814,9919,ok,,length,cfac5a59-9337-4a6a-8bcc-eaf4fdcfc894
125,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,234,7437,0,0,0,0,0,,0,458,413165471,1788925800835666,1788925800897082,1788925963904110,7438,ok,,length,4799b421-3bc1-4bf0-8f96-5843d3ef623b
50,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,3177,19991,0,0,0,0,0,,0,3410,146598155,1788925534268601,1788925534523319,1788925966283674,19992,ok,,length,ee4fcca2-a711-4e38-8314-bb774193d594
138,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,298,5197,0,0,0,0,0,,0,546,467863708,1788925855534383,1788925855597564,1788925967047192,5198,ok,,length,244ed9ed-d9a3-4dc1-a05b-3f1f67ac2f99
112,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,1378,8329,0,0,0,0,0,,0,1622,390981344,1788925778652523,1788925778819334,1788925971663906,8330,ok,,length,d9b8340c-ba6a-4c3a-bd84-634d4ff41ade
145,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,497,4929,0,0,0,0,0,,0,746,482641124,1788925870311735,1788925870390283,1788925975091236,4930,ok,,length,de08865c-0e25-40b6-820e-0ed296081309
149,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,2196,4435,0,0,0,0,0,,0,2429,500513525,1788925888184305,1788925888402978,1788925981540393,4436,ok,,length,dfb370f3-bbfd-400e-bd09-ed02c7678e98
72,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,421,17189,0,0,0,0,0,,0,663,222323581,1788925609994652,1788925610058499,1788925990141590,17190,ok,,length,aa899f41-00c6-41b9-979b-a8d812a83baf
136,reasoning-0,reasoning-jobs,standard,1,,0,reasoning-system-prompt-0,250,true,1825,6582,0,0,0,0,0,,0,2082,456434833,1788925844105459,1788925844301302,1788925993953113,6583,ok,,length,712417d0-8930-4962-809d-14c8ab220a48
139,reasoning-5,reasoning-jobs,standard,1,,0,reasoning-system-prompt-5,250,true,905,6929,0,0,0,0,0,,0,1147,469571409,1788925857242507,1788925857352053,1788926011865874,6930,ok,,length,1c302e82-1a5b-473c-98ed-148c4ea5af33
147,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,1699,6401,0,0,0,0,0,,0,1961,492471451,1788925880142032,1788925880325059,1788926020812261,6402,ok,,length,fdf9555f-ad1d-412f-ba22-68ebd2c2a070
59,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,932,21279,0,0,0,0,0,,0,1188,185512454,1788925573183231,1788925573298330,1788926021929890,21280,ok,,length,9270344c-817d-4b6b-9046-55fe64100d65
143,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,432,8263,0,0,0,0,0,,0,645,476646534,1788925864317767,1788925864401106,1788926037258933,8264,ok,,length,afd0d732-3166-40a9-823a-73c9aa14de96
85,reasoning-2,reasoning-jobs,standard,1,,0,reasoning-system-prompt-2,250,true,230,17789,0,0,0,0,0,,0,457,266619133,1788925654290274,1788925654345782,1788926046795464,17790,ok,,length,7ab192ad-4e31-4517-b189-1e9e999959d2
121,reasoning-8,reasoning-jobs,standard,1,,0,reasoning-system-prompt-8,250,true,243,12417,0,0,0,0,0,,0,502,405511447,1788925793181907,1788925793250649,1788926057903940,12418,ok,,length,9a847641-3ecb-4852-8f63-c2f6052e3029
144,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,803,9449,0,0,0,0,0,,0,1031,478088319,1788925865759386,1788925865860985,1788926067106440,9450,ok,,length,90768727-ca0a-4854-8690-ee077a377666
118,reasoning-9,reasoning-jobs,standard,1,,0,reasoning-system-prompt-9,250,true,215,13268,0,0,0,0,0,,0,443,401075804,1788925788746692,1788925788919841,1788926070751961,13269,ok,,length,eb2a796c-aaab-4704-b0b7-81ac4ac9ee6c
97,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,581,15598,0,0,0,0,0,,0,836,343125155,1788925730795516,1788925730877905,1788926072126849,15599,ok,,length,e40e9919-504b-4060-b375-31271063f177
135,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,473,11687,0,0,0,0,0,,0,737,455469663,1788925843140446,1788925843229016,1788926086510924,11688,ok,,length,a40d2fb6-5927-4ef4-8247-5d4f0a3583a6
142,reasoning-1,reasoning-jobs,standard,1,,0,reasoning-system-prompt-1,250,true,1007,10930,0,0,0,0,0,,0,1250,474770600,1788925862441721,1788925862578417,1788926091305574,10931,ok,,length,47a13d80-bd83-4af4-9c19-3accd4e2a56a
58,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,3581,26010,0,0,0,0,0,,0,3840,168943102,1788925556613690,1788925556904514,1788926098893154,26011,ok,,length,5b5c41d4-c685-483d-9e9c-9225abfab1c9
119,reasoning-7,reasoning-jobs,standard,1,,0,reasoning-system-prompt-7,250,true,645,15306,0,0,0,0,0,,0,881,404057753,1788925791729036,1788925791830415,1788926112101803,15307,ok,,length,2579ca1c-fb36-4638-a11f-31c71f0e2c1c
134,reasoning-6,reasoning-jobs,standard,1,,0,reasoning-system-prompt-6,250,true,1530,14434,0,0,0,0,0,,0,1791,445395525,1788925833066943,1788925833234822,1788926129131923,14435,ok,,length,020341ed-e9bd-4275-a330-b9e84aacd395
108,reasoning-4,reasoning-jobs,standard,1,,0,reasoning-system-prompt-4,250,true,779,17539,0,0,0,0,0,,0,1002,374577674,1788925762247910,1788925762363955,1788926132606086,17540,ok,,length,4fa85b7d-1a92-4cfa-adf0-59739ff2ef69
106,reasoning-4,reasoning-jobs,standard,1,,0,reasoning-system-prompt-4,250,true,734,19252,0,0,0,0,0,,0,958,370966291,1788925758637523,1788925758730418,1788926159810021,19253,ok,,length,ed8ed58a-c1be-47b4-93a2-d9530dafec8f
